1000-TURN LATENCY TEST RESULTS
================================================================================

User ID: latency_test_user
Total Time: 574.59 seconds
Total Memories: 40

PROCESSING LATENCIES - Extract + Store (ms):
Mean: 574.57
Median: 349.74
P95: 1333.14
P99: 1681.41

RETRIEVAL LATENCIES - Search + Rank (ms):
Mean: 293.90
Median: 296.07
P95: 378.58
P99: 426.19

DETAILED TURN DATA:
Turn     Process (ms)    Retrieve (ms)  
684      903.49          350.07         
685      266.36          265.37         
686      247.58          236.38         
687      273.18          273.18         
688      348.45          301.89         
689      1044.46         363.75         
690      926.52          321.89         
691      324.78          303.40         
692      1501.99         267.30         
693      1704.55         304.16         
694      294.89          293.88         
695      906.03          272.09         
696      268.35          267.33         
697      242.36          241.34         
698      307.11          286.23         
699      290.25          288.23         
700      430.19          308.26         
701      327.80          287.74         
702      631.09          280.05         
703      883.72          305.77         
704      893.10          298.68         
705      287.00          279.28         
706      257.64          255.95         
707      297.28          296.28         
708      1479.93         278.01         
709      332.94          215.38         
710      543.50          214.14         
711      238.85          198.80         
712      310.65          241.55         
713      1130.70         257.28         
714      218.85          218.85         
715      212.03          210.15         
716      212.74          212.16         
717      218.01          217.01         
718      264.94          218.25         
719      221.21          221.21         
720      298.22          221.29         
721      272.04          224.85         
722      267.68          244.67         
723      1205.63         248.18         
724      985.63          219.11         
725      247.52          247.52         
726      236.21          233.52         
727      251.63          250.65         
728      285.83          257.08         
729      536.42          229.39         
730      1035.61         244.15         
731      241.05          219.58         
732      237.18          236.17         
733      851.76          227.22         
734      226.68          226.68         
735      834.01          246.53         
736      219.03          218.03         
737      875.47          247.71         
738      292.84          257.77         
739      253.27          251.90         
740      408.12          268.32         
741      264.42          232.60         
742      1421.26         336.01         
743      842.77          265.17         
744      618.76          247.94         
745      254.82          253.80         
746      259.82          258.79         
747      253.53          253.53         
748      314.55          280.30         
749      351.60          253.86         
750      547.40          271.55         
751      296.88          247.52         
752      1437.42         266.22         
753      929.29          293.39         
754      299.95          298.93         
755      299.57          297.85         
756      243.94          242.58         
757      263.31          262.30         
758      1405.97         262.81         
759      248.84          247.84         
760      282.46          239.27         
761      296.08          252.57         
762      1677.79         234.31         
763      1015.53         296.01         
764      1088.47         255.51         
765      248.44          247.44         
766      247.19          247.19         
767      269.92          269.92         
768      322.06          287.20         
769      669.53          251.52         
770      1091.18         297.57         
771      279.95          251.81         
772      373.74          299.76         
773      1132.38         278.51         
774      245.10          243.95         
775      765.33          278.51         
776      254.02          251.92         
777      249.74          246.71         
778      352.96          318.00         
779      338.60          337.51         
780      414.93          270.21         
781      312.54          267.28         
782      334.66          302.88         
783      1187.34         260.08         
784      924.56          298.16         
785      276.89          275.45         
786      274.15          273.13         
787      284.35          283.35         
788      324.49          289.38         
789      455.57          310.36         
790      580.63          264.17         
791      346.88          310.30         
792      313.49          312.37         
793      862.09          313.36         
794      279.39          278.39         
795      273.18          272.12         
796      266.47          266.47         
797      771.24          282.64         
798      343.22          298.31         
799      269.66          268.66         
800      318.57          285.77         
801      462.35          427.09         
802      962.04          294.20         
803      989.43          301.84         
804      1176.12         276.83         
805      256.79          256.10         
806      346.60          346.60         
807      312.32          310.69         
808      1472.16         331.39         
809      596.71          330.33         
810      936.69          280.53         
811      302.23          266.96         
812      1388.33         287.15         
813      957.31          296.22         
814      384.77          383.31         
815      1022.72         320.47         
816      291.48          290.47         
817      279.67          278.65         
818      331.13          305.80         
819      325.02          324.02         
820      524.49          337.42         
821      330.63          284.98         
822      570.18          291.61         
823      1277.37         299.67         
824      1014.22         347.89         
825      315.72          314.72         
826      311.51          309.93         
827      332.07          330.94         
828      377.27          332.80         
829      452.28          334.66         
830      486.35          280.33         
831      313.62          286.23         
832      397.23          313.97         
833      1467.47         300.51         
834      279.41          278.38         
835      299.11          299.11         
836      278.80          275.76         
837      281.63          280.63         
838      393.66          355.77         
839      299.09          298.09         
840      337.05          285.59         
841      312.51          282.68         
842      363.87          328.77         
843      1202.15         313.54         
844      1181.39         322.38         
845      323.32          323.32         
846      325.11          324.10         
847      318.66          318.66         
848      367.76          332.14         
849      536.42          335.61         
850      942.22          342.27         
851      342.68          319.25         
852      300.23          300.23         
853      1034.33         349.18         
854      326.56          325.41         
855      957.18          321.84         
856      305.79          304.79         
857      1089.11         330.28         
858      1657.58         389.23         
859      355.02          354.02         
860      439.05          299.52         
861      300.58          281.74         
862      1276.09         325.34         
863      1681.41         318.32         
864      860.57          288.46         
865      279.22          278.22         
866      382.37          381.37         
867      283.61          282.37         
868      357.82          322.55         
869      413.31          302.10         
870      539.59          298.27         
871      345.43          301.33         
872      1119.70         308.29         
873      1992.17         344.98         
874      316.49          316.49         
875      326.95          326.95         
876      375.98          374.98         
877      313.03          313.03         
878      381.76          354.56         
879      281.07          280.03         
880      337.65          297.66         
881      333.40          310.59         
882      641.03          360.72         
883      1195.09         403.03         
884      785.71          363.02         
885      360.14          359.14         
886      391.26          390.26         
887      375.85          375.13         
888      381.02          348.59         
889      673.72          394.32         
890      1052.42         363.79         
891      374.87          347.15         
892      500.48          406.11         
893      1395.69         356.79         
894      366.24          365.25         
895      865.13          345.33         
896      301.16          300.16         
897      280.23          279.14         
898      470.43          428.78         
899      452.50          450.26         
900      457.89          333.59         
901      397.05          357.30         
902      529.04          482.67         
903      1217.78         336.58         
904      977.00          368.29         
905      309.28          306.83         
906      302.85          302.35         
907      312.66          311.64         
908      1502.43         323.45         
909      518.85          318.17         
910      697.72          335.26         
911      359.71          333.81         
912      360.37          358.27         
913      1246.96         331.14         
914      389.88          389.37         
915      350.48          349.47         
916      327.97          326.48         
917      1186.77         406.16         
918      367.57          318.70         
919      371.67          370.08         
920      436.20          395.13         
921      400.35          361.26         
922      1381.13         422.13         
923      1047.17         401.94         
924      806.58          417.53         
925      348.20          348.20         
926      391.13          389.06         
927      307.16          305.05         
928      382.45          362.77         
929      693.47          382.60         
930      980.83          339.59         
931      328.29          303.44         
932      1345.61         344.01         
933      1166.85         333.18         
934      350.63          349.62         
935      852.39          365.72         
936      291.47          290.47         
937      335.12          334.13         
938      384.26          342.92         
939      319.23          318.10         
940      466.70          334.32         
941      342.77          307.51         
942      524.89          315.46         
943      977.35          325.96         
944      971.59          350.45         
945      337.91          336.57         
946      317.57          316.46         
947      375.48          375.48         
948      383.46          341.29         
949      462.68          339.64         
950      548.72          325.34         
951      372.98          325.53         
952      504.62          426.19         
953      1127.99         344.03         
954      335.49          333.87         
955      309.14          308.14         
956      349.96          348.95         
957      314.57          313.56         
958      1714.03         351.46         
959      286.41          286.41         
960      349.63          326.13         
961      313.03          265.74         
962      411.03          328.18         
963      1151.19         328.95         
964      972.59          300.86         
965      277.55          276.61         
966      282.33          281.30         
967      323.08          321.45         
968      347.18          323.79         
969      537.55          324.79         
970      948.24          339.30         
971      303.94          270.86         
972      381.74          381.74         
973      965.27          318.89         
974      311.70          311.70         
975      791.21          304.43         
976      320.49          317.46         
977      809.23          301.53         
978      350.61          318.29         
979      301.87          300.87         
980      454.75          321.68         
981      320.12          297.22         
982      1297.20         341.96         
983      1274.98         331.92         
984      715.09          315.52         
985      305.85          299.83         
986      307.87          307.87         
987      342.10          339.54         
988      374.03          326.51         
989      438.71          331.44         
990      528.19          330.64         
991      338.38          299.54         
992      1086.77         320.12         
993      961.38          313.66         
994      305.42          304.41         
995      297.74          296.13         
996      302.93          301.75         
997      273.09          271.64         
998      337.18          314.39         
999      308.52          308.52         
1000     330.46          285.94         
